41,55,69,532038
47,64,77,270939
5,8,13,378109
8,12,19,465221
30,42,53,465219
76,102,121,465220
192,254,291,1242032
55,74,88,1239944
142,187,216,1225425
79,105,125,378111
11,16,22,467378
54,73,87,472953
31,43,54,378110
22,31,40,467377
7,10,16,474123
36,49,60,471970
38,51,63,481964
14,21,28,475385
55,74,89,476823
0,0,0,475287
6,9,15,484223
174,229,263,484669
35,47,59,476042
8,12,19,476044
69,93,110,476043
70,95,115,476759
34,47,60,476760
5,9,16,487344
15,22,31,476761
22,31,41,492050
8,13,20,477469
4,7,12,492059
12,18,26,500282
58,78,95,509055
32,44,56,479220
4,7,12,479481
72,96,113,479482
28,38,49,479484
111,147,172,479483
11,17,24,479485
111,148,175,480594
8,12,19,484142
4,6,12,484691
21,29,39,484219
69,92,108,494094
28,39,49,501511
10,15,21,501512
16,22,30,488036
2,4,8,488034
8,12,18,489084
101,135,158,489080
40,55,68,489083
42,57,70,321187
10,15,21,326027
26,36,46,517131
9,14,20,512628
6,10,17,643897
83,111,130,517193
127,169,198,490119
58,79,95,495898
166,219,253,1245569
104,138,161,492841
38,52,66,515573
6,9,15,496243
37,51,63,492852
15,21,29,492866
14,21,30,491536
4,7,12,494109
8,12,18,493509
40,54,67,493506
31,42,54,493507
66,89,107,493508
9,14,24,496136
89,119,141,494045
40,55,68,504821
11,16,23,495181
71,94,111,494082
15,22,30,373650
26,36,47,496139
6,9,15,373651
51,68,82,679265
3,6,11,495601
15,22,30,495602
173,229,262,494822
152,202,232,530544
5,9,14,530547
48,65,79,530543
10,15,22,530557
0,0,0,1244809
26,36,46,501302
10,15,21,501304
84,112,132,501303
5,8,13,1266535
23,32,41,502960
8,12,18,502962
34,46,57,1250662
57,76,90,298851
6,10,16,299090
0,0,0,377916
6,10,16,506022
13,19,26,1250663
23,32,42,505576
19,27,36,780068
68,91,109,505719
41,56,70,525200
12,17,25,523071
48,64,78,507625
126,167,193,507626
10,15,22,507627
131,174,200,1245089
26,36,46,510618
7,11,18,510619
5,7,12,527853
0,0,0,374464
184,242,278,517247
57,77,92,1245090
38,51,63,512242
125,166,191,511075
15,22,29,514601
63,85,101,737739
21,29,39,378374
125,166,193,511089
44,60,75,511088
11,16,24,511087
8,12,18,379187
28,39,49,580465
58,78,94,712347
3,5,10,512133
12,17,25,1245091
8,12,19,579655
8,12,19,513343
23,32,41,513342
18,26,35,516563
10,15,22,521203
45,61,75,516564
238,313,357,1254093
101,135,158,1295745
56,75,91,1251761
11,15,22,524946
78,104,122,570760
14,20,29,1249737
34,46,57,570759
16,24,32,523601
74,99,117,540749
0,0,0,545793
172,227,261,1249423
8,12,19,523603
49,67,81,523602
5,8,14,1255678
0,0,0,536166
9,14,20,524404
12,18,26,531475
5,9,16,556661
40,55,70,531442
302,398,451,532796
5,8,14,532795
12,18,26,532799
0,0,0,532798
45,61,75,532797
0,0,0,536901
39,52,64,536900
42,57,70,540059
11,17,24,540061
133,177,205,540060
33,46,56,1258774
93,124,144,1258115
32,44,56,543937
7,11,17,543938
7,11,18,545012
58,78,93,545015
3,5,10,545014
11,16,24,545013
91,121,143,545057
5,8,14,546468
16,23,32,545058
34,47,59,545056
11,16,23,1258805
1,3,7,303258
11,16,24,537916
87,116,136,549849
105,139,162,554742
8,12,18,545804
5,8,13,1265134
78,104,123,545063
41,56,69,547326
8,11,18,545395
83,111,131,545317
31,42,53,545318
88,118,138,547808
6,10,16,547809
40,54,66,545952
0,0,0,552906
114,151,175,556755
44,60,72,552142
76,102,120,550732
0,0,0,550438
3,6,11,270953
97,129,151,1260095
28,39,51,537915
7,11,18,551981
0,0,0,547883
15,21,29,1265136
82,110,130,552157
48,65,79,1265135
11,16,23,551775
31,43,54,553344
15,22,32,552747
52,71,87,552745
5,8,15,589659
145,192,223,552746
25,35,45,587017
11,16,23,587019
82,110,130,376721
0,0,0,303310
0,0,0,319283
72,97,114,317614
16,23,30,564737
126,167,192,557406
5,8,13,559863
63,85,101,560602
0,0,0,387459
10,14,20,558383
24,33,43,558382
5,9,14,558381
0,0,0,1284175
51,69,82,376806
0,0,0,559712
147,194,224,568156
10,15,22,559714
113,150,174,559713
34,47,58,1282467
0,0,0,561045
5,8,13,1284174
16,24,32,561043
47,64,78,561044
30,42,53,561405
27,37,47,709437
0,0,0,1283481
8,12,18,709436
94,125,146,561923
8,12,19,730960
42,57,69,724201
41,55,68,563731
4,7,12,563729
14,20,27,563730
37,51,63,564184
90,120,141,565639
7,10,16,564182
87,116,136,564610
87,116,138,811969
12,17,24,564611
31,42,53,564609
86,115,136,569795
43,59,73,565453
12,18,26,565454
37,51,64,566931
31,43,55,811967
7,10,16,566929
0,0,0,796256
9,13,21,811968
142,188,218,577429
11,16,23,578789
79,105,124,594075
25,35,45,677545
29,41,51,578591
6,10,16,677546
125,166,193,579709
107,142,165,579715
6,10,15,579711
13,18,26,579719
45,60,74,579713
28,39,50,579717
3,5,10,613083
4,7,12,581455
32,44,56,581457
11,17,24,581459
62,83,100,584589
31,43,54,585251
5,8,12,585053
12,17,24,584137
41,56,69,585313
139,184,212,583855
227,299,341,584403
53,72,86,610341
23,32,41,610383
85,113,133,685688
73,98,116,693142
9,13,20,610387
8,12,19,587403
28,39,49,587401
154,204,236,963330
0,0,0,603533
3,6,11,587399
11,17,23,587949
24,33,42,588677
4,7,12,591049
65,88,104,588679
7,10,16,379246
10,15,21,589117
44,61,77,378316
4,7,12,589115
25,35,47,378616
32,44,54,589113
8,13,19,589157
24,34,44,601923
17,24,32,592403
5,9,15,595387
67,90,107,590615
149,197,227,590515
118,157,181,590575
43,58,70,590573
10,15,22,590577
73,98,116,378746
103,137,160,667736
36,49,61,671362
10,15,23,664870
17,24,33,601871
10,15,22,601873
4,6,11,601869
55,74,89,613533
11,17,24,630749
112,149,174,602235
21,30,41,378642
12,17,24,603393
248,327,373,649616
55,73,88,603389
142,188,217,603737
6,9,14,282317
10,14,20,606501
76,102,120,638907
3,5,10,606497
0,0,0,606499
35,48,60,641173
84,112,133,669836
0,0,0,619143
5,8,14,641171
96,128,150,972610
134,178,207,619693
63,85,102,892786
0,0,0,957868
15,22,32,944741
101,134,158,1074591
34,46,56,282336
0,0,0,640821
26,37,47,706257
9,14,21,956248
10,15,21,622187
3,6,10,620931
32,44,54,625399
57,76,90,631305
15,21,28,727203
8,12,17,727202
9,14,20,282316
