

12,17,24,981293


16,23,29,283762


117,155,179,981291


1256,1645,1845,884617


86,115,135,381467


244,322,367,981294


7,10,17,1020082


26,36,47,1021795


169,224,257,380142


4,7,14,307338


298,393,446,1023966


153,202,233,383041


17,25,34,305651


678,889,1000,1023967


26,37,47,381064


10,15,22,674495


2,4,9,644661


38,52,64,644303


111,147,171,641639


149,198,229,672098


62,83,99,391016


180,238,273,391015


93,124,145,328165


34,47,58,328326


14,20,27,328699


399,525,594,548945


12,18,25,391014


5,8,13,663311


9,13,19,674791


27,37,47,651272


9,13,20,413353


8,13,19,771928


41,56,69,747358


54,72,87,382985


12,18,26,381707


50,67,82,381255


5,9,15,383116


15,21,30,645738


318,418,474,664217


123,164,190,728798


8,12,18,707374


0,0,0,709373


7,11,17,309318


61,82,97,320510


33,44,54,309316


28,39,50,667143


9,13,20,667144


63,85,101,667145


187,247,283,659694


109,145,168,682169


0,0,0,683264


40,54,67,680391


9,14,20,680392


129,171,198,310799


83,111,130,317041


9,14,21,311059


305,401,456,690909


127,168,195,683745


11,17,25,683225


244,322,367,681992


48,65,80,683744


26,36,47,692486


0,0,0,683577


66,88,104,683579


44,59,72,684852


9,13,19,684853


0,0,0,687324


128,169,195,687322


41,55,67,687321


238,313,357,687323


18,25,33,382857


76,101,120,382859


241,317,362,687730


6,9,15,382860


35,48,61,688426


9,14,21,814870


0,0,0,691925


35,48,60,690955


11,17,24,691014


84,113,133,690817


26,36,45,382858


6,10,15,383086


20,28,38,313765


3,6,11,313868


63,84,100,313891


7,11,18,313881


5,8,13,710143


41,56,68,708786


8,12,18,710144


21,30,39,707906


6,10,16,695194


54,72,86,695198


19,26,34,695195


132,174,200,695196


4,7,12,383084


19,26,34,383085


9,13,20,698238


36,50,62,698201


5,9,15,707510


101,135,157,698743


0,0,0,273800


20,27,35,273798


52,70,84,273799


89,119,139,423426


16,23,31,317013


84,112,131,315246


3,6,10,384382


109,145,168,384381


26,36,46,431490


8,12,18,384383


2,4,8,702435


4,6,11,702436


18,25,33,392002


7,10,17,392003


113,150,175,315723


0,0,0,705561


236,311,353,382545


42,57,70,392004


0,0,0,1239794


36,49,60,288431


11,15,22,727073


157,208,239,727074


52,69,84,727075


3,5,9,286985


8,13,20,712127


14,19,25,287000


26,36,47,712126


2,5,10,712125


0,0,0,283803


131,174,200,284604


25,35,46,427990


9,14,21,394207


63,85,102,721371


5,8,13,720555


145,191,220,720554


15,21,29,720561


228,300,342,720559


51,69,83,720563


4,6,10,758230


1,3,6,758229


14,20,27,397395


86,114,134,397402


40,54,66,397398


29,40,51,397401


8,13,19,382546


118,157,182,392616


30,42,53,392993


326,429,487,392261


4,7,12,423679


8,12,18,393061


11,16,23,737244


144,191,220,737242


